,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
123,63,male,2,free,little,rich,781,10,car,good
856,40,female,2,own,NA,NA,894,10,education,good
303,49,male,2,own,little,little,1038,10,car,good
741,23,male,1,own,little,moderate,1048,10,radio/TV,good
38,37,male,2,own,little,rich,1225,10,domestic appliances,good
264,32,male,1,own,little,NA,1231,10,car,good
611,48,female,1,free,moderate,rich,1240,10,car,bad
604,23,female,2,own,little,rich,1275,10,furniture/equipment,good
297,45,male,1,own,NA,NA,1287,10,car,good
505,27,male,1,own,NA,NA,1309,10,car,bad
686,27,male,2,own,NA,rich,1347,10,radio/TV,good
219,64,female,2,own,little,NA,1364,10,car,good
488,35,male,1,rent,moderate,NA,1418,10,car,good
339,31,male,1,own,little,moderate,1521,10,furniture/equipment,good
941,31,male,1,own,little,NA,1546,10,car,good
413,40,male,1,rent,quite rich,NA,1597,10,car,good
151,38,male,2,own,little,NA,1924,10,radio/TV,good
24,26,male,2,own,NA,NA,2069,10,furniture/equipment,good
117,27,female,2,rent,NA,little,2132,10,furniture/equipment,good
372,23,female,2,rent,little,NA,2146,10,furniture/equipment,good
864,25,male,1,rent,little,NA,2210,10,furniture/equipment,bad
22,48,male,1,rent,little,little,2241,10,car,good
84,52,male,1,own,little,little,2315,10,radio/TV,good
916,32,male,2,own,moderate,NA,2848,10,car,good
767,31,female,2,rent,NA,NA,2901,10,car,good
344,37,male,1,own,little,rich,3949,10,car,good
163,70,male,3,free,little,moderate,7308,10,car,good
259,57,female,1,own,moderate,NA,1154,11,radio/TV,good
875,40,female,2,own,rich,moderate,1322,11,car,good
45,35,female,3,own,little,NA,1393,11,car,good
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good
913,28,male,2,own,rich,NA,2142,11,business,good
456,36,male,2,rent,little,little,3905,11,car,good
969,40,male,1,own,little,little,3939,11,car,good
77,51,male,2,own,little,moderate,4771,11,radio/TV,good
48,39,male,1,own,little,NA,7228,11,car,good
157,45,male,1,own,little,little,339,12,education,good
590,58,female,1,own,little,little,385,12,radio/TV,good
27,42,female,2,rent,rich,rich,409,12,radio/TV,good
933,42,male,2,own,quite rich,NA,522,12,radio/TV,good
513,20,male,2,rent,little,moderate,585,12,radio/TV,good
439,26,female,0,own,little,rich,609,12,business,bad
90,56,male,2,own,little,NA,618,12,radio/TV,good
220,26,male,1,own,little,moderate,625,12,radio/TV,good
548,24,female,1,own,little,little,626,12,radio/TV,bad
127,30,male,2,own,little,moderate,639,12,repairs,bad
619,49,male,1,own,little,NA,640,12,car,good
869,24,female,2,rent,little,little,652,12,furniture/equipment,good
188,20,male,2,own,moderate,little,674,12,radio/TV,bad
147,51,female,2,own,moderate,NA,682,12,car,good
649,40,male,1,rent,little,little,684,12,education,bad
313,25,male,1,own,little,moderate,685,12,car,bad
759,35,male,2,own,little,little,691,12,car,bad
925,46,male,2,own,little,little,697,12,car,bad
126,40,male,1,own,little,little,701,12,radio/TV,good
318,32,male,2,own,little,NA,701,12,education,good
222,30,male,2,own,little,NA,707,12,radio/TV,good
316,38,male,1,own,little,little,708,12,furniture/equipment,good
849,57,male,1,own,little,little,709,12,radio/TV,bad
246,52,male,2,own,little,NA,717,12,radio/TV,good
443,41,male,1,own,little,NA,719,12,education,bad
307,33,male,1,own,moderate,little,727,12,radio/TV,bad
610,22,female,2,own,moderate,little,741,12,domestic appliances,bad
463,38,male,2,own,NA,moderate,754,12,education,good
510,26,male,2,own,little,little,759,12,car,bad
171,26,female,2,own,little,NA,763,12,furniture/equipment,good
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad
358,28,male,2,own,little,NA,776,12,radio/TV,good
885,53,female,2,own,little,little,795,12,education,bad
92,33,female,1,own,NA,NA,797,12,radio/TV,bad
997,38,male,2,own,little,NA,804,12,radio/TV,good
783,23,female,1,own,moderate,moderate,836,12,car,bad
752,23,female,1,rent,moderate,moderate,841,12,business,good
836,21,female,2,own,NA,NA,886,12,radio/TV,good
656,41,male,1,own,little,moderate,888,12,car,bad
661,23,male,2,own,NA,little,900,12,car,bad
203,21,male,2,rent,little,little,902,12,education,bad
697,38,female,0,own,little,NA,926,12,car,good
807,65,male,2,own,NA,NA,930,12,radio/TV,good
409,28,male,2,own,quite rich,rich,939,12,car,bad
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad
422,47,male,1,own,little,moderate,958,12,car,good
803,35,male,2,own,NA,NA,976,12,radio/TV,good
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good
550,23,female,2,own,NA,NA,996,12,repairs,good
67,22,male,2,own,rich,moderate,1007,12,car,good
478,39,male,1,own,moderate,moderate,1037,12,business,good
290,26,male,2,own,little,NA,1076,12,business,good
835,48,male,2,own,little,little,1082,12,car,bad
288,49,female,2,own,little,moderate,1092,12,radio/TV,good
820,27,male,2,own,little,NA,1101,12,car,good
696,29,male,2,own,little,moderate,1103,12,radio/TV,good
905,20,male,3,rent,little,little,1107,12,radio/TV,good
89,28,male,2,own,little,little,1108,12,repairs,bad
700,29,female,1,rent,quite rich,NA,1123,12,furniture/equipment,bad
765,40,male,1,own,little,moderate,1155,12,radio/TV,good
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good
484,44,male,2,own,quite rich,NA,1163,12,car,good
201,27,male,1,own,little,little,1168,12,car,good
243,27,female,2,own,little,NA,1185,12,business,good
221,23,female,2,rent,NA,little,1200,12,education,good
398,46,male,2,rent,little,moderate,1223,12,car,bad
722,24,female,1,own,little,little,1228,12,car,bad
135,38,female,2,own,NA,NA,1240,12,radio/TV,good
544,61,male,1,own,little,NA,1255,12,car,good
797,22,female,1,rent,little,NA,1258,12,furniture/equipment,good
52,25,male,2,own,little,NA,1262,12,radio/TV,good
277,49,male,1,own,NA,little,1262,12,furniture/equipment,good
33,57,male,1,rent,NA,NA,1264,12,business,good
747,37,female,1,own,little,little,1274,12,car,bad
155,20,female,2,rent,little,little,1282,12,furniture/equipment,bad
587,21,male,1,own,little,little,1289,12,furniture/equipment,good
238,35,female,2,own,little,NA,1291,12,radio/TV,good
10,25,female,2,rent,little,moderate,1295,12,car,bad
660,23,male,2,rent,little,rich,1297,12,radio/TV,good
94,54,male,2,own,rich,moderate,1318,12,car,good
383,26,male,2,own,little,rich,1330,12,car,good
555,22,male,2,own,little,moderate,1331,12,radio/TV,bad
929,43,male,1,own,little,little,1344,12,car,good
566,36,male,2,own,little,little,1372,12,car,bad
647,26,female,2,own,quite rich,NA,1386,12,car,bad
635,47,male,2,own,little,NA,1393,12,education,good
271,37,female,2,rent,quite rich,NA,1402,12,furniture/equipment,good
91,54,male,2,own,little,little,1409,12,car,good
782,31,male,1,own,little,moderate,1410,12,education,good
85,29,female,3,own,little,NA,1412,12,business,good
209,55,male,2,own,rich,NA,1413,12,car,good
207,26,male,2,own,little,moderate,1424,12,domestic appliances,good
448,55,female,3,own,NA,rich,1424,12,furniture/equipment,good
34,33,female,3,own,little,rich,1474,12,furniture/equipment,good
774,66,male,0,free,quite rich,rich,1480,12,car,good
435,25,male,2,own,NA,moderate,1484,12,radio/TV,bad
638,34,female,2,own,little,NA,1493,12,radio/TV,good
204,38,male,1,own,little,NA,1495,12,car,good
934,23,female,2,own,little,little,1498,12,radio/TV,good
532,41,male,2,rent,little,NA,1503,12,car,good
75,66,male,3,free,little,little,1526,12,car,good
540,23,male,2,rent,little,moderate,1534,12,radio/TV,bad
365,36,male,2,own,little,NA,1542,12,business,good
754,55,male,2,free,rich,NA,1555,12,repairs,bad
12,22,female,2,own,little,moderate,1567,12,radio/TV,good
281,50,male,2,own,little,NA,1574,12,furniture/equipment,good
897,35,female,2,own,rich,NA,1592,12,furniture/equipment,good
441,30,female,2,own,little,little,1620,12,furniture/equipment,good
769,63,male,1,own,little,NA,1655,12,radio/TV,good
260,27,male,2,own,little,little,1657,12,furniture/equipment,good
114,35,male,2,own,quite rich,little,1680,12,radio/TV,good
995,31,female,1,own,little,NA,1736,12,furniture/equipment,good
122,24,male,1,rent,little,NA,1768,12,furniture/equipment,good
23,44,male,2,own,moderate,moderate,1804,12,car,good
623,22,female,2,rent,little,little,1858,12,furniture/equipment,good
128,34,male,3,own,little,moderate,1860,12,car,good
139,44,female,1,rent,little,rich,1881,12,radio/TV,good
440,39,male,3,own,little,NA,1884,12,car,good
954,29,female,2,own,little,little,1893,12,car,good
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,bad
490,26,male,2,own,little,NA,1934,12,radio/TV,good
206,43,male,2,own,little,NA,1935,12,furniture/equipment,good
178,31,male,3,rent,little,NA,1963,12,radio/TV,good
553,27,male,2,own,moderate,moderate,1995,12,car,good
923,30,male,2,rent,little,moderate,2002,12,car,good
96,61,female,2,own,NA,NA,2012,12,education,good
421,30,male,2,own,NA,moderate,2028,12,car,good
49,28,female,2,own,moderate,NA,2073,12,radio/TV,good
2,49,male,1,own,little,NA,2096,12,education,good
125,30,male,2,own,little,little,2121,12,car,good
494,39,male,1,rent,little,little,2122,12,car,good
584,52,female,3,free,NA,NA,2133,12,car,good
232,35,male,2,own,moderate,NA,2141,12,radio/TV,good
257,29,male,2,free,little,little,2149,12,radio/TV,bad
66,29,female,2,own,little,NA,2171,12,radio/TV,good
892,38,male,1,own,little,little,2171,12,car,good
762,24,male,1,own,little,little,2214,12,radio/TV,good
589,60,male,2,own,little,little,2246,12,furniture/equipment,bad
362,36,female,2,own,little,rich,2247,12,car,good
251,46,female,1,own,little,rich,2251,12,furniture/equipment,good
681,37,male,2,free,NA,NA,2279,12,radio/TV,good
412,42,male,3,own,little,NA,2292,12,business,bad
356,49,male,2,own,NA,NA,2331,12,radio/TV,good
119,36,male,3,own,quite rich,moderate,2366,12,car,good
994,50,male,2,own,NA,NA,2390,12,car,good
104,26,male,2,rent,NA,NA,2445,12,car,good
176,42,male,2,own,little,little,2577,12,furniture/equipment,good
396,55,female,3,free,little,little,2578,12,furniture/equipment,good
416,33,male,1,own,little,little,2579,12,car,bad
263,57,female,1,free,little,NA,2748,12,education,good
452,34,male,2,own,little,NA,2759,12,furniture/equipment,good
424,25,female,2,own,NA,moderate,2762,12,furniture/equipment,bad
947,38,male,3,own,NA,NA,2859,12,car,good
576,27,female,2,own,little,moderate,2930,12,radio/TV,good
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,bad
821,24,male,2,own,little,rich,3016,12,radio/TV,good
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,good
8,61,male,1,own,rich,NA,3059,12,radio/TV,good
486,52,male,2,own,little,NA,3077,12,radio/TV,good
581,49,male,1,own,little,moderate,3124,12,car,good
867,42,male,2,own,little,NA,3331,12,furniture/equipment,good
457,35,male,2,free,little,little,3386,12,car,bad
361,37,male,3,own,NA,rich,3399,12,radio/TV,good
244,35,female,1,own,quite rich,NA,3447,12,education,good
129,29,female,2,own,little,little,3499,12,car,bad
940,45,male,3,own,NA,NA,3527,12,car,good
990,37,male,1,own,NA,NA,3565,12,education,good
480,23,female,1,own,little,moderate,3573,12,radio/TV,good
874,29,male,1,own,little,little,3590,12,furniture/equipment,good
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment,good
689,31,male,2,own,rich,little,3651,12,car,good
296,20,female,2,rent,NA,NA,4675,12,car,good
668,43,male,2,rent,little,little,4843,12,car,bad
326,49,male,2,rent,NA,NA,5801,12,furniture/equipment,good
107,32,male,2,own,little,moderate,6078,12,car,good
353,28,male,2,rent,little,little,6199,12,radio/TV,bad
56,52,male,3,own,NA,moderate,6468,12,radio/TV,bad
804,24,female,0,rent,NA,moderate,7472,12,car,good
227,53,male,3,free,little,little,7865,12,furniture/equipment,bad
346,23,male,2,own,little,moderate,882,13,radio/TV,good
987,64,female,2,own,moderate,NA,1409,13,radio/TV,good
745,28,male,1,own,little,little,1797,13,business,good
336,23,female,1,own,little,moderate,2101,13,radio/TV,good
403,27,male,1,own,little,NA,802,14,car,good
109,35,male,2,own,quite rich,moderate,1410,14,business,good
655,22,male,2,free,little,little,3973,14,car,good
268,45,male,3,own,little,little,8978,14,car,bad
111,23,female,2,rent,little,rich,392,15,education,good
265,37,male,2,own,little,moderate,802,15,radio/TV,bad
573,22,female,1,own,little,little,806,15,business,good
873,24,female,2,own,NA,NA,874,15,domestic appliances,good
170,33,male,2,rent,little,little,950,15,car,bad
483,30,female,2,own,rich,NA,960,15,furniture/equipment,good
690,25,male,2,own,little,little,975,15,furniture/equipment,good
407,27,male,2,own,little,little,1053,15,radio/TV,good
81,47,male,2,own,quite rich,NA,1213,15,radio/TV,good
162,36,male,2,own,quite rich,NA,1262,15,domestic appliances,good
979,25,male,2,rent,moderate,moderate,1264,15,car,bad
757,39,male,2,free,NA,rich,1271,15,radio/TV,bad
337,24,female,2,rent,NA,little,1275,15,domestic appliances,bad
609,45,male,2,free,NA,NA,1300,15,car,good
641,38,male,1,own,little,moderate,1308,15,repairs,good
726,47,male,1,own,quite rich,NA,1316,15,radio/TV,good
185,31,male,2,own,little,NA,1360,15,radio/TV,good
903,40,male,2,rent,NA,NA,1386,15,radio/TV,good
14,28,female,2,rent,little,little,1403,15,car,good
985,25,female,2,rent,little,little,1433,15,furniture/equipment,good
632,23,male,2,own,NA,moderate,1444,15,radio/TV,good
345,43,female,1,own,little,NA,1459,15,radio/TV,good
852,35,male,2,free,little,NA,1471,15,radio/TV,good
479,44,male,2,own,little,little,1478,15,furniture/equipment,good
682,33,male,2,own,little,NA,1478,15,radio/TV,good
449,61,male,2,own,rich,moderate,1512,15,repairs,bad
970,22,male,2,own,moderate,moderate,1514,15,repairs,good
283,63,male,2,own,NA,NA,1520,15,furniture/equipment,good
526,31,female,2,own,moderate,NA,1532,15,education,good
61,50,male,2,own,NA,moderate,1537,15,radio/TV,good
991,34,male,1,own,moderate,NA,1569,15,radio/TV,good
461,36,male,2,own,little,little,1721,15,car,good
809,26,female,0,rent,little,moderate,1778,15,car,bad
891,46,male,2,own,little,NA,1829,15,radio/TV,good
944,46,female,2,rent,little,little,1845,15,furniture/equipment,good
699,40,male,3,rent,little,rich,1905,15,education,good
625,35,male,2,own,NA,NA,1979,15,radio/TV,good
898,33,female,1,rent,NA,NA,2186,15,furniture/equipment,good
865,20,female,2,rent,quite rich,NA,2221,15,furniture/equipment,good
388,27,male,2,own,quite rich,moderate,2326,15,business,good
834,25,female,1,own,little,rich,2327,15,radio/TV,bad
506,36,male,2,own,quite rich,rich,2360,15,car,good
746,23,female,2,rent,little,little,2511,15,car,good
531,28,female,2,rent,moderate,moderate,2631,15,car,bad
691,25,female,1,own,moderate,moderate,2631,15,repairs,good
512,26,male,2,rent,little,rich,2687,15,business,good
132,27,male,1,own,little,NA,2708,15,furniture/equipment,good
138,35,male,2,own,NA,moderate,2728,15,radio/TV,good
575,24,female,2,own,little,NA,2788,15,furniture/equipment,good
749,33,male,2,own,little,NA,3029,15,car,good
420,20,female,2,rent,rich,NA,3186,15,car,good
857,28,male,2,free,little,NA,3343,15,furniture/equipment,good
280,23,male,2,rent,rich,NA,3368,15,car,good
962,29,male,2,own,NA,NA,3556,15,car,good
967,54,female,3,rent,little,NA,3568,15,radio/TV,good
908,46,female,1,own,little,NA,3594,15,car,good
319,27,female,1,own,little,little,3643,15,furniture/equipment,good
258,23,female,2,own,moderate,NA,3812,15,car,good
858,29,female,2,own,little,little,3959,15,car,bad
642,40,male,3,own,moderate,NA,4623,15,education,bad
224,30,male,2,own,little,NA,4657,15,car,good
760,59,female,2,own,NA,NA,5045,15,car,good
705,35,female,2,free,quite rich,NA,5324,15,car,good
507,34,male,3,own,moderate,moderate,6850,15,car,bad
187,68,male,0,free,little,moderate,1175,16,car,good
900,43,male,2,rent,little,little,2625,16,car,bad
249,22,female,2,rent,little,NA,433,18,radio/TV,bad
710,32,male,3,own,quite rich,NA,629,18,radio/TV,good
640,27,female,0,own,little,little,750,18,education,bad
233,25,male,1,own,little,moderate,866,18,radio/TV,good
184,36,male,2,own,little,moderate,884,18,car,bad
751,23,female,1,own,little,little,976,18,car,bad
324,36,female,2,own,little,NA,1028,18,car,good
419,33,female,2,own,NA,moderate,1042,18,car,bad
926,21,female,2,rent,little,little,1049,18,furniture/equipment,good
161,30,female,2,own,little,NA,1055,18,car,good
580,30,male,2,own,little,moderate,1056,18,car,bad
883,65,female,0,own,little,NA,1098,18,radio/TV,good
524,26,female,1,own,little,moderate,1113,18,radio/TV,good
386,21,female,2,rent,NA,NA,1126,18,radio/TV,good
166,33,female,2,own,little,little,1131,18,furniture/equipment,bad
427,46,male,2,own,rich,NA,1149,18,radio/TV,good
894,29,male,2,own,NA,NA,1169,18,radio/TV,good
429,55,female,0,free,little,little,1190,18,repairs,bad
831,23,female,2,rent,little,little,1216,18,car,bad
588,47,male,1,own,little,little,1217,18,domestic appliances,bad
360,61,male,2,free,NA,moderate,1239,18,education,good
474,33,male,2,own,little,moderate,1245,18,radio/TV,bad
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,good
498,32,male,1,own,little,moderate,1301,18,radio/TV,good
819,26,male,2,own,little,little,1345,18,radio/TV,bad
853,32,male,1,free,little,little,1442,18,car,bad
282,49,male,1,own,NA,rich,1445,18,radio/TV,good
679,26,female,2,own,little,NA,1453,18,radio/TV,good
400,39,male,2,own,little,NA,1473,18,radio/TV,good
717,32,male,3,free,little,NA,1505,18,radio/TV,good
621,32,male,2,own,little,NA,1530,18,car,bad
948,43,male,1,own,little,NA,1533,18,furniture/equipment,bad
631,44,male,2,own,little,little,1553,18,furniture/equipment,bad
82,24,female,1,rent,moderate,NA,1568,18,business,good
149,46,male,2,own,rich,NA,1582,18,radio/TV,good
801,48,female,1,rent,little,moderate,1795,18,radio/TV,good
698,24,male,2,own,little,NA,1800,18,radio/TV,good
614,22,female,2,own,little,NA,1808,18,furniture/equipment,bad
920,28,female,2,own,little,NA,1817,18,furniture/equipment,good
390,30,male,3,own,little,NA,1820,18,car,good
331,30,female,2,own,moderate,NA,1864,18,education,bad
644,32,male,3,own,little,little,1880,18,radio/TV,good
727,25,female,2,rent,little,little,1882,18,radio/TV,bad
401,28,male,2,own,NA,moderate,1887,18,business,good
30,36,male,2,own,rich,moderate,1913,18,business,good
124,27,female,2,rent,NA,moderate,1924,18,furniture/equipment,bad
559,31,male,1,own,little,moderate,1928,18,furniture/equipment,bad
992,23,male,1,rent,NA,little,1936,18,radio/TV,good
876,36,male,3,free,little,little,1940,18,radio/TV,good
785,35,male,1,own,rich,moderate,1941,18,business,good
842,23,female,2,own,little,NA,1943,18,repairs,bad
464,34,male,2,own,little,NA,1950,18,business,good
58,23,female,3,own,little,rich,1961,18,car,good
133,47,male,2,free,little,NA,1984,18,furniture/equipment,good
585,20,female,2,rent,little,little,2039,18,furniture/equipment,bad
608,33,male,2,own,little,NA,2051,18,radio/TV,good
37,37,male,2,own,little,rich,2100,18,radio/TV,bad
761,24,female,2,rent,little,little,2124,18,furniture/equipment,bad
861,28,male,2,own,little,NA,2169,18,business,bad
385,25,female,2,own,little,NA,2238,18,radio/TV,good
88,30,male,3,own,moderate,little,2249,18,car,good
556,28,female,2,own,moderate,moderate,2278,18,car,bad
376,34,male,2,own,little,NA,2320,18,radio/TV,good
866,27,female,2,own,little,little,2389,18,radio/TV,good
276,26,female,2,own,little,NA,2404,18,radio/TV,good
977,42,male,2,own,NA,moderate,2427,18,business,good
143,22,male,2,own,little,little,2462,18,furniture/equipment,bad
364,25,male,0,own,little,little,2473,18,furniture/equipment,bad
298,43,male,2,own,little,NA,2515,18,furniture/equipment,good
624,65,male,2,free,little,little,2600,18,radio/TV,bad
97,34,male,2,own,moderate,moderate,2622,18,business,good
323,28,male,2,own,rich,little,2659,18,furniture/equipment,good
270,32,male,2,own,NA,NA,2662,18,car,good
598,31,male,2,own,little,NA,2775,18,car,bad
425,21,male,2,rent,little,moderate,2779,18,car,good
